id,Headline,ReportDate,Link,DiseaseLevel1,DiseaseLevel2,Country,HR: Textually explicit activities,HR Notes,MM: Textually explicit activities,MM Notes,Flag for discussion,DONid,RK/CC notes,Master coding,Master coding fixed names
96,Meningococcal disease in Burkina Faso,2/4/2003,https://www.who.int/emergencies/disease-outbreak-news/item/2003_02_04-en/,Meningococcal disease,,Burkina Faso,"Collect biological and environmental samples,Complete descriptive analysis of outbreak,Conduct disease surveillance,Confirm diagnoses,Count cases,Count deaths,Determine the existence of an outbreak,Empower community to make decisions and implement and manage change,Identify agent based on laboratory testing,Procure diagnostics and laboratory testing material",""" On 26 January 2003, 4 districts, Batie, Kossodo, Manga and Tenkodogo, were in the alert phase, although none had crossed the epidemic threshold. "" = determine the existence of an outbreak -- they just determined there wasn't one!","Collect biological and environmental samples,Complete descriptive analysis of outbreak,Conduct disease surveillance,Confirm diagnoses,Count cases,Count deaths,Determine the existence of an outbreak,Empower community to make decisions and implement and manage change,Identify agent based on laboratory testing,Procure diagnostics and laboratory testing material","This is one of several DONs which use the specific term ""epidemic threshold""

""training of health personnel"" - not specific enough to know what they are being trained in

""social mobilization in communities"" - possibly empower community",,DON-2003-02-04,,"Collect biological and environmental samples,Complete descriptive analysis of outbreak,Conduct disease surveillance,Confirm diagnoses,Count cases,Count deaths,Determine the existence of an outbreak,Empower community to make decisions and implement and manage change,Identify agent based on laboratory testing,Procure diagnostics and laboratory testing material","Collect biological and environmental samples, Complete descriptive analysis of outbreak, Conduct disease surveillance, Confirm diagnoses, Count cases, Count deaths, Determine the existence of an outbreak, Empower community to make decisions and implement and manage change, Identify agent based on laboratory testing, Procure diagnostics and laboratory testing material"
97,Influenza in the Democratic Republic of the Congo,2/12/2003,https://www.who.int/emergencies/disease-outbreak-news/item/2003_02_12-en/,Influenza A,H3N2,Democratic Republic of the Congo,,Couldn't access this one,,"Cannot access this DONS ""This page cannot be found""",,DON-2003-02-12-a,,,
98,Severe Acute Respiratory Syndrome (SARS) multi-country outbreak - Update 9,3/25/2003,https://www.who.int/emergencies/disease-outbreak-news/item/2003_03_25-en/,SARS-CoV,,Global,"Count cases,Identify travel or border restrictions,Initiate epidemiological investigation,Manage and coordinate data collection and reporting,Monitor and manage suspected cases,Perform contact tracing activities,Share information and key messages with the public","PROPOSAL: Exclude ""Global"" DONS and any non-country DONS from sample. 

1. They seem to break with the methodology of the DONs dataset -- i.e. even when countries are mentioned, they're not separated out as line listings but rather aggregated together. Example for this one: WHO received a specific report from Hong Kong in this DON...there is no line for Hong Kong, it's marked as global, so I did not include those activities. Would need a new line for Hong Kong if so. Similarly, Hong Kong DOH set up a hotline and implemented IPC measures  -- NOT global, so didn't tag.

2. Because Global DONS aggregate a bunch of different countries together which could bias results

3. GOAL doesn't seem to map well with ""global"" DONs where there is no country identified / taking action, but describing actions from global community with respect to WHO -- GOAL wasn't set up to account for all the actions that an IO could take (i.e. WHO issued travel advisory -- no activity in GOAL to align with this)


","Count cases,Identify travel or border restrictions,Initiate epidemiological investigation,Manage and coordinate data collection and reporting,Monitor and manage suspected cases,Perform contact tracing activities,Share information and key messages with the public","This also has info about Hong Kong, Canada, and gen global case info. Should it be separated out?",checked,DON-2003-03-25,,"Count cases,Identify travel or border restrictions,Initiate epidemiological investigation,Manage and coordinate data collection and reporting,Monitor and manage suspected cases,Perform contact tracing activities,Share information and key messages with the public","Count cases, Identify travel or border restrictions, Initiate epidemiological investigation, Manage and coordinate data collection and reporting, Monitor and manage suspected cases, Perform contact tracing activities, Share information and key messages with the public"
99,Severe Acute Respiratory Syndrome (SARS) - multi-country outbreak - Update 21,4/4/2003,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_04-en/,SARS-CoV,,Global,"Count cases,Count deaths,Monitor and manage suspected cases,Publish and share data","I feel like this should be split into China/Hong Kong, not global? It details action from China, not WHO. There are a few broken out case counts for additional countries, but those should be individual lines, per previous DONs.

PROPOSAL: Exclude ""Global"" DONS and any non-country DONS from sample. 

1. They seem to break with the methodology of the DONs dataset -- i.e. even when countries are mentioned, they're not separated out as line listings but rather aggregated together. Example for this one: WHO received a specific report from Hong Kong in this DON...there is no line for Hong Kong, it's marked as global, so I did not include those activities. Would need a new line for Hong Kong if so.

2. Because Global DONS aggregate a bunch of different countries together which could bias results

3. GOAL doesn't seem to map well with ""global"" DONs where there is no country identified / taking action, but describing actions from global community with respect to WHO -- GOAL wasn't set up to account for all the actions that an IO could take (i.e. WHO issued travel advisory -- no activity in GOAL to align with this)","Count cases,Count deaths,Initiate epidemiological investigation,Monitor and manage suspected cases,Publish and share data","Initiate epi investigation: ""Health authorities are current investigating sewage samples""


DONs distinguishes between China and Hong Kong - but this is coded as global, is that correct?

There is also case data for several other countries. ",checked,DON-2003-04-04,,"Count cases,Count deaths,Initiate epidemiological investigation,Monitor and manage suspected cases,Publish and share data","Count cases, Count deaths, Initiate epidemiological investigation, Monitor and manage suspected cases, Publish and share data"
100,Severe Acute Respiratory Syndrome (SARS) - multi-country outbreak - Update 34,4/19/2003,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_19-en/,SARS-CoV,,Global,"Count cases,Count deaths,Determine mode of transmission,Develop hypothesis to explain specific exposure that caused disease,Plan systematic study","Shares context / knowledge about WHO decision-making during SARS, but similar to above, could see lines for Canada, Hong Kong, and Vietnam because there's detailed information about all 3.

PROPOSAL: Exclude ""Global"" DONS and any non-country DONS from sample. 

1. They seem to break with the methodology of the DONs dataset -- i.e. even when countries are mentioned, they're not separated out as line listings but rather aggregated together. Example for this one: WHO received a specific report from Hong Kong in this DON...there is no line for Hong Kong, it's marked as global, so I did not include those activities. Would need a new line for Hong Kong if so.

2. Because Global DONS aggregate a bunch of different countries together which could bias results

3. GOAL doesn't seem to map well with ""global"" DONs where there is no country identified / taking action, but describing actions from global community with respect to WHO -- GOAL wasn't set up to account for all the actions that an IO could take (i.e. WHO issued travel advisory -- no activity in GOAL to align with this","Count cases,Count deaths,Determine mode of transmission,Develop hypothesis to explain specific exposure that caused disease,Plan systematic study","More an informational summary of what is known about SARS at the time. 

Could be split into country lines, there is information about Hong Kong cases, Canada cases, and Vietnam - should this be recoded within DONs?

No GOAL language for isolation/quarantine outside of designated facilities. What about at-home isolation/quarantine?",checked,DON-2003-04-19,,"Count cases,Count deaths,Determine mode of transmission,Develop hypothesis to explain specific exposure that caused disease,Plan systematic study","Count cases, Count deaths, Determine mode of transmission, Develop hypothesis to explain specific exposure that caused disease, Plan systematic study"
101,Severe Acute Respiratory Syndrome (SARS) - multi-country outbreak - Update 35,4/21/2003,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_21-en/,SARS-CoV,,China,"Confirm diagnoses,Count cases,""Establish physical distancing measures in healthcare facilities, treatment centers, and the broader community"",Initiate epidemiological investigation","

WHO team arrived to investigate = epidemiological investigation?","Confirm diagnoses,Count cases,""Establish physical distancing measures in healthcare facilities, treatment centers, and the broader community"",Initiate epidemiological investigation","""China also reduced its traditional week-long May Day holiday to a single"" - physical distancing policy

""In an indication that the Chinese leadership is now taking seriously the need for transparency in SARS reporting, the health minister and Beijing mayor, both of whom played down the seriousness of SARS, were removed from their Communist Party posts."" - possibly 'establish and maintain communication mechanism.....""",,DON-2003-04-21,,"Confirm diagnoses,Count cases,""Establish physical distancing measures in healthcare facilities, treatment centers, and the broader community"",Initiate epidemiological investigation","Confirm diagnoses, Count cases, Establish physical distancing measures in healthcare facilities/treatment centers/the broader community, Initiate epidemiological investigation"
102,Avian influenza in the Netherlands,4/24/2003,https://www.who.int/emergencies/disease-outbreak-news/item/2003_04_24-en/,Influenza A,H7N7,Netherlands,,Couldn't access this one,,"Cannot access this DONS ""This page cannot be found""",,DON-2003-04-24-a,,,
103,Severe Acute Respiratory Syndrome (SARS)-multi-country outbreak - Update 47,5/5/2003,https://www.who.int/emergencies/disease-outbreak-news/item/2003_05_05-en/,SARS-CoV,,Global,"Count cases,Count deaths,Determine mode of transmission,""Establish physical distancing measures in healthcare facilities, treatment centers, and the broader community"",Implement infection prevention and control (IPC) measures,Plan systematic study,Promote good hygiene practices,Publish and share data","Shares context / knowledge about WHO decision-making during SARS, but similar to above, could see lines for China because there's detailed information /specific section for it (didn't put here)

PROPOSAL: Exclude ""Global"" DONS and any non-country DONS from sample. 

1. They seem to break with the methodology of the DONs dataset -- i.e. even when countries are mentioned, they're not separated out as line listings but rather aggregated together. Example for this one: WHO received a specific report from Hong Kong in this DON...there is no line for Hong Kong, it's marked as global, so I did not include those activities. Would need a new line for Hong Kong if so.

2. Because Global DONS aggregate a bunch of different countries together which could bias results

3. GOAL doesn't seem to map well with ""global"" DONs where there is no country identified / taking action, but describing actions from global community with respect to WHO -- GOAL wasn't set up to account for all the actions that an IO could take (i.e. WHO issued travel advisory -- no activity in GOAL to align with this)


","Count cases,Count deaths,Determine mode of transmission,""Establish physical distancing measures in healthcare facilities, treatment centers, and the broader community"",Implement infection prevention and control (IPC) measures,Plan systematic study,Promote good hygiene practices,Publish and share data","Should we also be coding the china activities?

I only coded global",checked,DON-2003-05-05,,"Count cases,Count deaths,Determine mode of transmission,""Establish physical distancing measures in healthcare facilities, treatment centers, and the broader community"",Implement infection prevention and control (IPC) measures,Plan systematic study,Promote good hygiene practices,Publish and share data","Count cases, Count deaths, Determine mode of transmission, Establish physical distancing measures in healthcare facilities/treatment centers/the broader community, Implement infection prevention and control (IPC) measures, Plan systematic study, Promote good hygiene practices, Publish and share data"
104,Severe Acute Respiratory Syndrome (SARS)-multi-country outbreak - Update 52,5/10/2003,https://www.who.int/emergencies/disease-outbreak-news/item/2003_05_10-en/,SARS-CoV,,Global,"Count cases,Count deaths","There should be separate lines for China, Philippines, Mongolia

Global entry (here) is only coded for global cumulative cases and deaths ","Count cases,Count deaths","Again a DONs where there are multiple countries listed, but is coded as global. 

I only coded global",checked,DON-2003-05-10,,"Count cases,Count deaths","Count cases, Count deaths"
105,Cholera in South Africa,5/23/2003,https://www.who.int/emergencies/disease-outbreak-news/item/2003_05_23a-en/,Cholera,,South Africa,"Complete descriptive analysis of outbreak,Conduct site visits and infection prevention and control (IPC) assessments at healthcare facilities,Confirm diagnoses,Coordinate response with international partners,Count cases,Count deaths,Monitor and manage suspected cases,Provide technical assistance","Mentions suspected and confirmed cases -- is that enough to warrant tags?

"" A team from the Department of Health, joined by a medical officer from the WHO country office, has travelled to Mpumalanga to assess the situation and make recommendations to contain the outbreak."" = provide technical assistance; coordinate with international partners

","Complete descriptive analysis of outbreak,Conduct site visits and infection prevention and control (IPC) assessments at healthcare facilities,Confirm diagnoses,Coordinate response with international partners,Count cases,Count deaths,Monitor and manage suspected cases,Provide technical assistance",,,DON-2003-05-23-a,,"Complete descriptive analysis of outbreak,Conduct site visits and infection prevention and control (IPC) assessments at healthcare facilities,Confirm diagnoses,Coordinate response with international partners,Count cases,Count deaths,Monitor and manage suspected cases,Provide technical assistance","Complete descriptive analysis of outbreak, Conduct site visits and infection prevention and control (IPC) assessments at healthcare facilities, Confirm diagnoses, Coordinate response with international partners, Count cases, Count deaths, Monitor and manage suspected cases, Provide technical assistance"
106,Update 70 - Singapore removed from list of areas with local SARS transmission,5/30/2003,https://www.who.int/emergencies/disease-outbreak-news/item/2003_05_30a-en/,SARS-CoV,,Singapore,"Conduct disease surveillance,Conduct surveillance at points of entry,Consider enforcing physical distancing measures of infectious patients,Construct case definitions,Coordinate with security sector and law enforcement,Count cases,Determine policy on mandatory screenings and/or testing,Document and communicate the results of epidemiological investigation,""Establish physical distancing measures in healthcare facilities, treatment centers, and the broader community"",Identify infrastructure for isolation and quarantine facilities,Initiate epidemiological investigation,Monitor and manage suspected cases,Perform contact tracing activities,Transport or evacuate patients,Update cross-border agreements,WHO/WOAH notification",""" In an outstanding example of prompt and open reporting, the 11 May case was reported to WHO on the very day when Singapore was initially scheduled to come off the list."" = WHO/WOAH notification

"" Altogether, 144 of Singapore’s 206 probable cases have been linked to contact with only 5 individuals."" = count cases

"" In an official communication from the Ministry of Health, sent on 29 May, WHO was informed that investigations had identified the source of infection for all but one of the country’s total number of cases."" = document and communicate results of epidemiological investigation

not in recovery so can't mark ""document lessons learned during recovery"" ?

don't see ""initiate epi investigation""


","Conduct disease surveillance,Conduct surveillance at points of entry,Consider enforcing physical distancing measures of infectious patients,Construct case definitions,Coordinate with security sector and law enforcement,Count cases,Determine policy on mandatory screenings and/or testing,Document and communicate the results of epidemiological investigation,""Establish physical distancing measures in healthcare facilities, treatment centers, and the broader community"",Identify infrastructure for isolation and quarantine facilities,Initiate epidemiological investigation,Monitor and manage suspected cases,Perform contact tracing activities,Transport or evacuate patients,Update cross-border agreements,WHO/WOAH notification","Initiate epi investigation: ""investigations had identified the source of infection for all but one of the country’s total number of cases.""

This DONs is more a summary/commendation on the overall SARS response in Singapore

""Effective Saturday 31 May, Singapore will be removed from the list of areas with recent local transmission of SARS."" - not quite 'declare outbreak is over'",checked,DON-2003-05-30-a,"RK: They did initiate epi investigation, but unsure if makes sense in a summary report. CC? 

CC: I think this is not only epi investigation but contact tracing

RK: ok","Conduct disease surveillance,Conduct surveillance at points of entry,Consider enforcing physical distancing measures of infectious patients,Construct case definitions,Coordinate with security sector and law enforcement,Count cases,Determine policy on mandatory screenings and/or testing,Document and communicate the results of epidemiological investigation,""Establish physical distancing measures in healthcare facilities, treatment centers, and the broader community"",Identify infrastructure for isolation and quarantine facilities,Initiate epidemiological investigation,Monitor and manage suspected cases,Perform contact tracing activities,Transport or evacuate patients,Update cross-border agreements,WHO/WOAH notification","Conduct disease surveillance, Conduct surveillance at points of entry, Consider enforcing physical distancing measures of infectious patients, Construct case definitions, Coordinate with security sector and law enforcement, Count cases, Determine policy on mandatory screenings and/or testing, Document and communicate the results of epidemiological investigation, Establish physical distancing measures in healthcare facilities/treatment centers/the broader community, Identify infrastructure for isolation and quarantine facilities, Initiate epidemiological investigation, Monitor and manage suspected cases, Perform contact tracing activities, Transport or evacuate patients, Update cross-border agreements, WHO/WOAH notification"
107,Update 72 - Situation in China,6/3/2003,https://www.who.int/emergencies/disease-outbreak-news/item/2003_06_03-en/,SARS-CoV,,China,Count cases,"WHO expresses concern about the situation in China, but does not report on specific actions being taken (noting an absence of information)",Count cases,"Unsure how to code this. WHO raises concerns about SARS situation in China, but does not provide details about actual response",,DON-2003-06-03,,Count cases,Count cases
108,"Update 87 - World Health Organization changes last remaining travel recommendation -- for Beijing, China",6/24/2003,https://www.who.int/emergencies/disease-outbreak-news/item/2003_06_24-en/,SARS-CoV,,China,"Count cases,Count deaths,""Establish physical distancing measures in healthcare facilities, treatment centers, and the broader community"",Identify travel or border restrictions,Perform contact tracing activities","Because they're lifting the advisory / distancing measure, not tagging ""establish physical distancing"" 

Recommended screening but not clear if implemented

""Identify travel or border restirctions"" is weird here","Count cases,Count deaths,""Establish physical distancing measures in healthcare facilities, treatment centers, and the broader community"",Identify travel or border restrictions,Perform contact tracing activities","Establish physical distancing measures: ""Containment of an outbreak of such dimensions is a tribute to the effectiveness of centuries-old control measures, including isolation, contact tracing, and quarantine, supported by government commitment at the highest levels.""",checked,DON-2003-06-24-a,"RK- so same issue as above.  physical distancing involved in response and discussed, but whether we could past actions in current DON. CC?  (what we do in 108 should then be consistent with 106)

CC: I think lifted should count because the point is whether it documents it having happened","Count cases,Count deaths,""Establish physical distancing measures in healthcare facilities, treatment centers, and the broader community"",Identify travel or border restrictions,Perform contact tracing activities","Count cases, Count deaths, Establish physical distancing measures in healthcare facilities/treatment centers/the broader community, Identify travel or border restrictions, Perform contact tracing activities"
109,Update 88 - New cases reported in China and Japan,6/25/2003,https://www.who.int/emergencies/disease-outbreak-news/item/2003_06_25-en/,SARS-CoV,,China,"Collect case patient information,Monitor and manage suspected cases,Provide clinical care",""" Meticulous records kept by Hong Kong authorities have revealed that the woman was hospitalized in Hong Kong and treated for other illnesses from 20 to 21 May. As her room was on the same ward as a SARS patient, she was placed under health surveillance until 1 June. No SARS symptoms developed during this period, which represents the maximum incubation period."" = collect case patient info","Collect case patient information,Diagnose cases,Monitor and manage suspected cases,Provide clinical care,WHO/WOAH notification","Diagnose cases: ""WHO has today received reports of new probable cases of SARS in China and Japan.""",checked,DON-2003-06-25,"RK: yes on diagnose and notification

CC: yes","Collect case patient information,Diagnose cases,Monitor and manage suspected cases,Provide clinical care,WHO/WOAH notification","Collect case patient information, Diagnose cases, Monitor and manage suspected cases, Provide clinical care, WHO/WOAH notification"
110,Update 88 - New cases reported in China and Japan,6/25/2003,https://www.who.int/emergencies/disease-outbreak-news/item/2003_06_25-en/,SARS-CoV,,Japan,"Collect case patient information,Diagnose cases,Form differential diagnosis,Initiate epidemiological investigation,Monitor and manage suspected cases,Provide clinical care","""The Japanese Ministry of Health has today reported a probable case of SARS involving a 33-year-old man who arrived in Tokyo, for sightseeing, on 21 June and developed symptoms two days later. "" = collect case patient info","Collect case patient information,Diagnose cases,Form differential diagnosis,Initiate epidemiological investigation,Monitor and manage suspected cases,Provide clinical care",,,DON-2003-06-25,,"Collect case patient information,Diagnose cases,Form differential diagnosis,Initiate epidemiological investigation,Monitor and manage suspected cases,Provide clinical care","Collect case patient information, Diagnose cases, Form differential diagnosis, Initiate epidemiological investigation, Monitor and manage suspected cases, Provide clinical care"
111,"Update 92 - Chronology of travel recommendations, areas with local transmission",7/1/2003,https://www.who.int/emergencies/disease-outbreak-news/item/2003_07_01-en/,SARS-CoV,,Global,"Determine policy on mandatory screenings and/or testing,Identify travel or border restrictions,Share information and key messages with the public,WHO/WOAH notification","Provides an outbreak chronology; Coded things the WHO recommended?

PROPOSAL: Exclude """"Global"""" DONS and any non-country DONS from sample. 

1. They seem to break with the methodology of the DONs dataset -- i.e. even when countries are mentioned, they're not separated out as line listings but rather aggregated together. Example for this one: WHO received a specific report from Hong Kong in this DON...there is no line for Hong Kong, it's marked as global, so I did not include those activities. Would need a new line for Hong Kong if so. Similarly, Hong Kong DOH set up a hotline and implemented IPC measures  -- NOT global, so didn't tag.

2. Because Global DONS aggregate a bunch of different countries together which could bias results

3. GOAL doesn't seem to map well with """"global"""" DONs where there is no country identified / taking action, but describing actions from global community with respect to WHO -- GOAL wasn't set up to account for all the actions that an IO could take (i.e. WHO issued travel advisory -- no activity in GOAL to align with this)

","Determine policy on mandatory screenings and/or testing,Identify travel or border restrictions,Share information and key messages with the public,WHO/WOAH notification","thorough outbreak timeline, includes country specific information. Coded only global relevant items to match DONs coding. ",checked,DON-2003-07-01,,"Determine policy on mandatory screenings and/or testing,Identify travel or border restrictions,Share information and key messages with the public,WHO/WOAH notification","Determine policy on mandatory screenings and/or testing, Identify travel or border restrictions, Share information and key messages with the public, WHO/WOAH notification"
112,Cholera in Liberia - Update 5,9/2/2003,https://www.who.int/emergencies/disease-outbreak-news/item/2003_09_02-en/,Cholera,,Liberia,"Assessment of surveillance systems,Collect and manage data on security-related threats and events,Conduct disease surveillance,Coordinate response with international partners,Count cases,Create inter-agency coordinating committee,Identify at risk population,Identify vulnerable populations,Implement infection prevention and control (IPC) measures,Initiate medical response,Integrate humanitarian risk and public health data,Promote good hygiene practices,Provide clean water","""On the basis of the assessment team's visit and analysis of the data (see previous report), WHO has now reported a cumulative number of 6353 cases since the beginning of the outbreak in Monrovia in June until 17 August. Systematic reporting of deaths from cholera has not been undertaken in health centres. WHO has put an emergency surveillance system in place to fill this gap.""  = assessed surveillance systems.

"" The Cholera Coordination Committee has been reactivated to ensure the effectiveness of the efforts of partners (Ministry of Health, WHO, NGOs) operating in Liberia during this post-war phase. In particular, NGOs have been encouraged to better inform the population on cholera preventive measures. "" = coordinate with international partners

""Nutrition screening carried out by nongovernmental organizations (NGOs)"" = carry out screening/testing

""Médecins sans Frontières France and Belgium and MERLIN have opened cholera treatment centres near the most affected areas."" = initiate medical response

""In particular, NGOs have been encouraged to better inform the population on cholera preventive measures."" = not marking as share info/key messages bc this doesn't indicate they're currently doing that

As a whole, this DON is an example of ""Integrate humanitarian risk and public health data"" -- proven by ""Since the ceasefire and the improvement in security, the number of registered cases has been rapidly increasing. "" and ""Nutrition screening carried out by nongovernmental organizations (NGOs) found that 40 % of the children screened are suffering from acute malnutrition which may increase the rate of severe cholera cases. "" ","Assessment of surveillance systems,Collect and manage data on security-related threats and events,Conduct disease surveillance,Coordinate response with international partners,Count cases,Create inter-agency coordinating committee,Identify at risk population,Identify vulnerable populations,Implement infection prevention and control (IPC) measures,Initiate medical response,Integrate humanitarian risk and public health data,Promote good hygiene practices,Provide clean water","""Assessment team's visit and analysis of the data"" - GOAL separates between public health, humanitarian, etc. data. Do we make an assumption to code one, or leave off due to vagueness

Implement IPC measures: ""In order to reduce the risk of waterborne diseases and to limit cholera transmission, WHO, in collaboration with UNICEF and other partners, has launched a campaign for the chlorination of water in Monrovia. The chlorination of 5000 open wells in the city has begun and the process will be repeated regularly until the cholera risk has diminished.""

Identify vulnerable populations: ""There are approximately 230 000 people in internally displaced persons camps in Monrovia living in very difficult conditions. The sanitation is poor and safe water is scarce with only 2 litres per day per person available""

Ensure vulnerable populations access to care and resources: "" Médecins sans Frontières France and Belgium and MERLIN have opened cholera treatment centres near the most affected areas.""
",checked,DON-2003-09-02,"RK: yes on epi assessment (kind of ), Yes on humanitarian, yes on IPC and yes on ID vuln pops. No on 'ensure vuln pops'. CC? (don't feel super strongly on these)

CC: +1 ","Assessment of surveillance systems,Collect and manage data on security-related threats and events,Conduct disease surveillance,Coordinate response with international partners,Count cases,Create inter-agency coordinating committee,Identify at risk population,Identify vulnerable populations,Implement infection prevention and control (IPC) measures,Initiate medical response,Integrate humanitarian risk and public health data,Promote good hygiene practices,Provide clean water","Assessment of surveillance systems, Collect and manage data on security-related threats and events, Conduct disease surveillance, Coordinate response with international partners, Count cases, Create inter-agency coordinating committee, Identify at risk population, Identify vulnerable populations, Implement infection prevention and control (IPC) measures, Initiate medical response, Integrate humanitarian risk and public health data, Promote good hygiene practices, Provide clean water"
113,Severe acute respiratory syndrome (SARS) in Singapore,9/10/2003,https://www.who.int/emergencies/disease-outbreak-news/item/2003_09_10-en/,SARS-CoV,,Singapore,"Collect case patient information,Confirm diagnoses,Consider enforcing physical distancing measures of infectious patients,Construct case definitions,Identify agent based on laboratory testing,Perform contact tracing activities,Provide clinical care","""This single case is in a 27-year-old postgraduate medical student who worked in a virology laboratory in Singapore"" = collect case patient info

""WHO’s case definitions are designed to provide early warning and give health officials direction for responding to a new outbreak of SARS"" = construct case definitions","Collect case patient information,Confirm diagnoses,Consider enforcing physical distancing measures of infectious patients,Construct case definitions,Identify agent based on laboratory testing,Perform contact tracing activities,Provide clinical care","Note - I have coded ""provide clinical care"" when a DONs mentions that case(s) is/are hospitalized",,DON-2003-09-10,,"Collect case patient information,Confirm diagnoses,Consider enforcing physical distancing measures of infectious patients,Construct case definitions,Identify agent based on laboratory testing,Perform contact tracing activities,Provide clinical care","Collect case patient information, Confirm diagnoses, Consider enforcing physical distancing measures of infectious patients, Construct case definitions, Identify agent based on laboratory testing, Perform contact tracing activities, Provide clinical care"
114,Severe acute respiratory syndrome (SARS) in Singapore - update,9/16/2003,https://www.who.int/emergencies/disease-outbreak-news/item/2003_09_16-en/,SARS-CoV,,Singapore,"Collect case patient information,Conduct site visits and infection prevention and control (IPC) assessments at healthcare facilities,Confirm diagnoses,Consider enforcing physical distancing measures of infectious patients,Identify agent based on laboratory testing,Perform contact tracing activities,Provide clinical care,Provide technical assistance,WHO/WOAH notification","""the 27-year-old medical researcher who worked in a virology laboratory is now considered a WHO laboratory-confirmed case of SARS coronavirus (CoV) infection."" = case patient info

""Singapore officials have notified WHO that the patient will be released Wednesday and placed in home quarantine for 14 days."" = who/woah notification

""However, an international team of experts began work today examining laboratory safety issues surrounding the case. An 11-member panel, chaired by Dr. Antony Della-Porta, an Australian biosafety expert, will review lab safety issues in Singapore and make recommendations.""= provide technical assistance

","Collect case patient information,Conduct site visits and infection prevention and control (IPC) assessments at healthcare facilities,Confirm diagnoses,Consider enforcing physical distancing measures of infectious patients,Identify agent based on laboratory testing,Perform contact tracing activities,Provide clinical care,Provide technical assistance,WHO/WOAH notification","GOAL is adding a biosecurity/biosafety activity which would match with ""Speculation about the source of the patient’s infection has centered on a workplace exposure in a Singapore laboratory.
However, an international team of experts began work today examining laboratory safety issues surrounding the case.""",,DON-2003-09-16,,"Collect case patient information,Conduct site visits and infection prevention and control (IPC) assessments at healthcare facilities,Confirm diagnoses,Consider enforcing physical distancing measures of infectious patients,Identify agent based on laboratory testing,Perform contact tracing activities,Provide clinical care,Provide technical assistance,WHO/WOAH notification","Collect case patient information, Conduct site visits and infection prevention and control (IPC) assessments at healthcare facilities, Confirm diagnoses, Consider enforcing physical distancing measures of infectious patients, Identify agent based on laboratory testing, Perform contact tracing activities, Provide clinical care, Provide technical assistance, WHO/WOAH notification"
115,Widespread human influenza activity persists in northern hemisphere - update 5,12/23/2003,https://www.who.int/emergencies/disease-outbreak-news/item/2003_12_23-en/,Influenza A,,Northern Hemisphere,"Humanely destroy all infected and exposed animals,Identify agent based on laboratory testing,Initiate epidemiological investigation,Transport samples internationally","Based on prior methods, seems like there should be a line for each country mentioned? Otherwise just a DONs informational / status update about influenza

PROPOSAL: Exclude """"Global"""" DONS and any non-country DONS from sample. 

1. They seem to break with the methodology of the DONs dataset -- i.e. even when countries are mentioned, they're not separated out as line listings but rather aggregated together. Example for this one: WHO received a specific report from Hong Kong in this DON...there is no line for Hong Kong, it's marked as global, so I did not include those activities. Would need a new line for Hong Kong if so. Similarly, Hong Kong DOH set up a hotline and implemented IPC measures  -- NOT global, so didn't tag.

2. Because Global DONS aggregate a bunch of different countries together which could bias results

3. GOAL doesn't seem to map well with """"global"""" DONs where there is no country identified / taking action, but describing actions from global community with respect to WHO -- GOAL wasn't set up to account for all the actions that an IO could take (i.e. WHO issued travel advisory -- no activity in GOAL to align with this)","Humanely destroy all infected and exposed animals,Identify agent based on laboratory testing,Initiate epidemiological investigation,Transport samples internationally","Unsure how to code. An example of a regional DONs which lists several countries. Do we code just the summary or all country lines?

I coded just the summary",checked,DON-2003-12-23,,"Humanely destroy all infected and exposed animals,Identify agent based on laboratory testing,Initiate epidemiological investigation,Transport samples internationally","Humanely destroy all infected and exposed animals, Identify agent based on laboratory testing, Initiate epidemiological investigation, Transport samples internationally"
116,Avian influenza A(H5N1) in humans and poultry in VietNam,1/13/2004,https://www.who.int/emergencies/disease-outbreak-news/item/2004_01_13-en/,Influenza A,H5N1,Vietnam,,Couldn't access this one,,"Cannot access this DONS ""This page cannot be found""",,DON-2004-01-13-a,,,
117,Human influenza A(H3N2) activity remains widespread in many countries - update 7,1/13/2004,https://www.who.int/emergencies/disease-outbreak-news/item/2004_01_13a-en/,Influenza A,H3N2,Global,,"Based on prior methods, seems like there should be a line for each country mentioned? Otherwise just a DONs informational / status update about influenza

PROPOSAL: Exclude """"Global"""" DONS and any non-country DONS from sample. 

1. They seem to break with the methodology of the DONs dataset -- i.e. even when countries are mentioned, they're not separated out as line listings but rather aggregated together. Example for this one: WHO received a specific report from Hong Kong in this DON...there is no line for Hong Kong, it's marked as global, so I did not include those activities. Would need a new line for Hong Kong if so. Similarly, Hong Kong DOH set up a hotline and implemented IPC measures  -- NOT global, so didn't tag.

2. Because Global DONS aggregate a bunch of different countries together which could bias results

3. GOAL doesn't seem to map well with """"global"""" DONs where there is no country identified / taking action, but describing actions from global community with respect to WHO -- GOAL wasn't set up to account for all the actions that an IO could take (i.e. WHO issued travel advisory -- no activity in GOAL to align with this)",,"Unsure how to code. An example of a global DONs which lists several countries. Do we code just the summary or all country lines?

Summary is also a weird mix of global info and country specific details

I coded just the summary info that was not country specific",checked,DON-2004-01-13-b,,,
