,Act1,Act2,counts
2486,Initiate epidemiological investigation,Establish public hotline or call center,1.0
2487,Initiate epidemiological investigation,Engage the media,5.0
2488,Initiate epidemiological investigation,Develop plan for the safe disposal of waste,1.0
2489,Initiate epidemiological investigation,Provide funding and/or financing,3.0
2490,Initiate epidemiological investigation,Train workforce in epidemic intelligence,2.0
2491,Initiate epidemiological investigation,Manage clinical data,1.0
2492,Initiate epidemiological investigation,Train contact tracers,1.0
2493,Initiate epidemiological investigation,Train community on surveillance and/or contact tracing,3.0
2494,Initiate epidemiological investigation,Identify reporting lines,1.0
2495,Initiate epidemiological investigation,Complete public health needs assessment,1.0
2496,Initiate epidemiological investigation,Document and communicate the results of epidemiological investigation,2.0
2497,Initiate epidemiological investigation,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",1.0
2498,Initiate epidemiological investigation,Activate emergency operations center (EOC),3.0
2499,Initiate epidemiological investigation,Provide clean water,3.0
2500,Initiate epidemiological investigation,Provide mental health and counseling services,2.0
2501,Initiate epidemiological investigation,Deactivate emergency operations center (EOC),1.0
2502,Initiate epidemiological investigation,Notification of International Health Regulation (IHR) event,23.0
2503,Initiate epidemiological investigation,Engage in ongoing dialogue with community,4.0
2504,Initiate epidemiological investigation,Identify at risk population,1.0
2505,Initiate epidemiological investigation,Integrate and analyze surveillance data,4.0
2506,Initiate epidemiological investigation,Consider issuing trade restrictions,1.0
2507,Initiate epidemiological investigation,Staff isolation facilities,1.0
2508,Initiate epidemiological investigation,Confirm diagnoses,88.0
2509,Initiate epidemiological investigation,Genetically sequence samples,8.0
2510,Initiate epidemiological investigation,Compensate impacted populations,1.0
2511,Initiate epidemiological investigation,Develop SOPs for burials,1.0
2512,Initiate epidemiological investigation,Perform contact tracing activities,50.0
2513,Initiate epidemiological investigation,Identify vulnerable populations,0.0
2514,Initiate epidemiological investigation,Form differential diagnosis,4.0
2515,Initiate epidemiological investigation,Assessment of surveillance systems,0.0
2516,Initiate epidemiological investigation,Provide shelter for displaced populations,0.0
2517,Initiate epidemiological investigation,"""Dispose of animal carcasses, litter, and animal products""",0.0
2518,Initiate epidemiological investigation,Manage supply chain for consumable medical equipment,0.0
2519,Initiate epidemiological investigation,Mobilize and train volunteers,3.0
2520,Initiate epidemiological investigation,Determine mode of transmission,5.0
2521,Initiate epidemiological investigation,Plan systematic study,3.0
2522,Initiate epidemiological investigation,"""Test for antiviral, antibiotic, and/or vaccine resistance""",1.0
2523,Initiate epidemiological investigation,Coordinate with security sector and law enforcement,0.0
2524,Initiate epidemiological investigation,Initiate attribution investigation,1.0
2525,Initiate epidemiological investigation,Acquire road transportation vehicles,0.0
2526,Initiate epidemiological investigation,Carry out screening/testing activities,6.0
2527,Initiate epidemiological investigation,Quarantine and controls on movement of animals and potentially contaminated vehicles and personnel,1.0
2528,Initiate epidemiological investigation,Procure diagnostics and laboratory testing material,0.0
2529,Initiate epidemiological investigation,Transport samples domestically,3.0
2530,Initiate epidemiological investigation,"""Acquire personal protective equipment (PPE), chlorine and detergent, and decontamination tools required""",3.0
2531,Initiate epidemiological investigation,Share information and key messages with the public,26.0
2532,Initiate epidemiological investigation,Strengthen or revise infection prevention and control (IPC) guidelines,0.0
2533,Initiate epidemiological investigation,Monitor and manage suspected cases,33.0
2534,Initiate epidemiological investigation,Collect and manage data on security-related threats and events,0.0
2535,Initiate epidemiological investigation,Share genetic sequence data with international community,1.0
2536,Initiate epidemiological investigation,Conduct risk assessment,24.0
2537,Initiate epidemiological investigation,Promote good hygiene practices,5.0
2538,Initiate epidemiological investigation,Count deaths,91.0
2539,Initiate epidemiological investigation,Transport or evacuate patients,3.0
2540,Initiate epidemiological investigation,"""Ensure proper water, sanitation, and hygiene (WASH)""",1.0
2541,Initiate epidemiological investigation,Develop or update instruments governing public health surveillance and response,1.0
2542,Initiate epidemiological investigation,Explore fundraising options,0.0
2543,Initiate epidemiological investigation,Develop hypothesis to explain specific exposure that caused disease,46.0
2544,Initiate epidemiological investigation,Consider enforcing physical distancing measures of infectious patients,1.0
2545,Initiate epidemiological investigation,Perform active case finding,10.0
2546,Initiate epidemiological investigation,Initiate immunization campaign,10.0
2547,Initiate epidemiological investigation,Conduct and assess statistical analysis,1.0
2548,Initiate epidemiological investigation,Identify and train local spokespersons,1.0
2549,Initiate epidemiological investigation,Determine the existence of an outbreak,4.0
2550,Initiate epidemiological investigation,Empower community to make decisions and implement and manage change,4.0
2551,Initiate epidemiological investigation,Integrate humanitarian risk and public health data,0.0
2552,Initiate epidemiological investigation,Assess impacts to local banks and economic systems,0.0
2553,Initiate epidemiological investigation,Collect case patient information,50.0
2554,Initiate epidemiological investigation,Provide medical countermeasures (MCMs),6.0
2555,Initiate epidemiological investigation,Publish and share data,4.0
2556,Initiate epidemiological investigation,Humanely destroy all infected and exposed animals,0.0
2557,Initiate epidemiological investigation,"""Surveillance and tracing of potentially infected or exposed domestic animals, livestock, and wildlife""",12.0
2558,Initiate epidemiological investigation,Identify agent based on laboratory testing,83.0
2559,Initiate epidemiological investigation,Initiate medical response,5.0
2560,Initiate epidemiological investigation,Diagnose cases,11.0
2561,Initiate epidemiological investigation,Manage potential clashes in national policy,1.0
2562,Issue emergency declaration,National-level notification of potential public health emergency,0.0
2563,Issue emergency declaration,Determine policy on mandatory screenings and/or testing,0.0
2564,Issue emergency declaration,Monitor the long-term safety and efficacy of vaccines,0.0
2565,Issue emergency declaration,Identify travel or border restrictions,0.0
2566,Issue emergency declaration,Ongoing communication with funders,0.0
2567,Issue emergency declaration,Procure sampling material,0.0
2568,Issue emergency declaration,WHO/WOAH notification,0.0
2569,Issue emergency declaration,Implement vector control measures,0.0
2570,Issue emergency declaration,Coordinate national response across sectors,0.0
2571,Issue emergency declaration,Conduct anthropological assessment,0.0
2572,Issue emergency declaration,Issue request for assistance,0.0
2573,Issue emergency declaration,Complete descriptive analysis of outbreak,0.0
2574,Issue emergency declaration,Construct case definitions,0.0
2575,Issue emergency declaration,Provide clinical care,0.0
2576,Issue emergency declaration,Collect data to assess magnitude and nature of the event,0.0
2577,Issue emergency declaration,Collect biological and environmental samples,0.0
2578,Issue emergency declaration,Update cross-border agreements,0.0
2579,Issue emergency declaration,Train workforce in clinical care and case management practices,0.0
2580,Issue emergency declaration,"""Maintain sanitation of facilities, buildings, vehicles and equipment used for animals""",0.0
2581,Issue emergency declaration,Manage and coordinate data collection and reporting,0.0
2582,Issue emergency declaration,Create and distribute standard treatment guidance ,0.0
2583,Issue emergency declaration,Close food premises or prohibit the sale or use of foods,0.0
2584,Issue emergency declaration,Identify and share relevant legislation and regulations across sectors,0.0
2585,Issue emergency declaration,Implement infection prevention and control (IPC) measures,0.0
2586,Issue emergency declaration,Identify infrastructure for isolation and quarantine facilities,0.0
2587,Issue emergency declaration,Transport samples internationally,0.0
2588,Issue emergency declaration,Manage emergency operations center (EOC) operations,0.0
2589,Issue emergency declaration,Create inter-agency coordinating committee,0.0
2590,Issue emergency declaration,Collect vaccination data,0.0
2591,Issue emergency declaration,Declare outbreak nationally,0.0
2592,Issue emergency declaration,Establish sample collection and transport protocols,0.0
2593,Issue emergency declaration,Coordinate response with international partners,1.0
2594,Issue emergency declaration,Ensure power is available for humanitarian response activities,0.0
2595,Issue emergency declaration,Remove implicated foods from market,0.0
2596,Issue emergency declaration,Train workforce on infection prevention & control (IPC) guidelines,0.0
2597,Issue emergency declaration,Establish public hotline or call center,0.0
2598,Issue emergency declaration,Engage the media,0.0
2599,Issue emergency declaration,Develop plan for the safe disposal of waste,0.0
2600,Issue emergency declaration,Provide funding and/or financing,0.0
2601,Issue emergency declaration,Train workforce in epidemic intelligence,0.0
2602,Issue emergency declaration,Manage clinical data,0.0
2603,Issue emergency declaration,Train contact tracers,0.0
2604,Issue emergency declaration,Train community on surveillance and/or contact tracing,0.0
2605,Issue emergency declaration,Identify reporting lines,0.0
2606,Issue emergency declaration,Complete public health needs assessment,0.0
2607,Issue emergency declaration,Document and communicate the results of epidemiological investigation,0.0
2608,Issue emergency declaration,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",0.0
2609,Issue emergency declaration,Activate emergency operations center (EOC),0.0
2610,Issue emergency declaration,Provide clean water,0.0
2611,Issue emergency declaration,Provide mental health and counseling services,0.0
2612,Issue emergency declaration,Deactivate emergency operations center (EOC),0.0
2613,Issue emergency declaration,Notification of International Health Regulation (IHR) event,0.0
2614,Issue emergency declaration,Engage in ongoing dialogue with community,0.0
2615,Issue emergency declaration,Identify at risk population,0.0
2616,Issue emergency declaration,Integrate and analyze surveillance data,0.0
2617,Issue emergency declaration,Consider issuing trade restrictions,0.0
2618,Issue emergency declaration,Staff isolation facilities,0.0
2619,Issue emergency declaration,Confirm diagnoses,1.0
2620,Issue emergency declaration,Genetically sequence samples,0.0
2621,Issue emergency declaration,Compensate impacted populations,0.0
2622,Issue emergency declaration,Develop SOPs for burials,0.0
2623,Issue emergency declaration,Perform contact tracing activities,0.0
2624,Issue emergency declaration,Identify vulnerable populations,0.0
2625,Issue emergency declaration,Form differential diagnosis,0.0
2626,Issue emergency declaration,Assessment of surveillance systems,0.0
2627,Issue emergency declaration,Provide shelter for displaced populations,0.0
2628,Issue emergency declaration,"""Dispose of animal carcasses, litter, and animal products""",0.0
2629,Issue emergency declaration,Manage supply chain for consumable medical equipment,0.0
2630,Issue emergency declaration,Mobilize and train volunteers,0.0
2631,Issue emergency declaration,Determine mode of transmission,0.0
2632,Issue emergency declaration,Plan systematic study,0.0
2633,Issue emergency declaration,"""Test for antiviral, antibiotic, and/or vaccine resistance""",0.0
2634,Issue emergency declaration,Coordinate with security sector and law enforcement,0.0
2635,Issue emergency declaration,Initiate attribution investigation,0.0
2636,Issue emergency declaration,Acquire road transportation vehicles,0.0
2637,Issue emergency declaration,Carry out screening/testing activities,0.0
2638,Issue emergency declaration,Quarantine and controls on movement of animals and potentially contaminated vehicles and personnel,0.0
2639,Issue emergency declaration,Procure diagnostics and laboratory testing material,0.0
2640,Issue emergency declaration,Transport samples domestically,0.0
2641,Issue emergency declaration,"""Acquire personal protective equipment (PPE), chlorine and detergent, and decontamination tools required""",0.0
2642,Issue emergency declaration,Share information and key messages with the public,0.0
2643,Issue emergency declaration,Strengthen or revise infection prevention and control (IPC) guidelines,0.0
2644,Issue emergency declaration,Monitor and manage suspected cases,0.0
2645,Issue emergency declaration,Collect and manage data on security-related threats and events,0.0
2646,Issue emergency declaration,Share genetic sequence data with international community,0.0
2647,Issue emergency declaration,Conduct risk assessment,0.0
2648,Issue emergency declaration,Promote good hygiene practices,0.0
2649,Issue emergency declaration,Count deaths,0.0
2650,Issue emergency declaration,Transport or evacuate patients,0.0
2651,Issue emergency declaration,"""Ensure proper water, sanitation, and hygiene (WASH)""",0.0
2652,Issue emergency declaration,Develop or update instruments governing public health surveillance and response,0.0
2653,Issue emergency declaration,Explore fundraising options,0.0
2654,Issue emergency declaration,Develop hypothesis to explain specific exposure that caused disease,0.0
2655,Issue emergency declaration,Consider enforcing physical distancing measures of infectious patients,0.0
2656,Issue emergency declaration,Perform active case finding,1.0
2657,Issue emergency declaration,Initiate immunization campaign,1.0
2658,Issue emergency declaration,Conduct and assess statistical analysis,0.0
2659,Issue emergency declaration,Identify and train local spokespersons,0.0
2660,Issue emergency declaration,Determine the existence of an outbreak,0.0
2661,Issue emergency declaration,Empower community to make decisions and implement and manage change,0.0
2662,Issue emergency declaration,Integrate humanitarian risk and public health data,0.0
2663,Issue emergency declaration,Assess impacts to local banks and economic systems,0.0
2664,Issue emergency declaration,Collect case patient information,0.0
2665,Issue emergency declaration,Provide medical countermeasures (MCMs),0.0
2666,Issue emergency declaration,Publish and share data,0.0
2667,Issue emergency declaration,Humanely destroy all infected and exposed animals,0.0
2668,Issue emergency declaration,"""Surveillance and tracing of potentially infected or exposed domestic animals, livestock, and wildlife""",0.0
2669,Issue emergency declaration,Identify agent based on laboratory testing,0.0
2670,Issue emergency declaration,Initiate medical response,0.0
2671,Issue emergency declaration,Diagnose cases,0.0
2672,Issue emergency declaration,Manage potential clashes in national policy,0.0
2673,National-level notification of potential public health emergency,Determine policy on mandatory screenings and/or testing,0.0
2674,National-level notification of potential public health emergency,Monitor the long-term safety and efficacy of vaccines,0.0
2675,National-level notification of potential public health emergency,Identify travel or border restrictions,0.0
2676,National-level notification of potential public health emergency,Ongoing communication with funders,0.0
2677,National-level notification of potential public health emergency,Procure sampling material,0.0
2678,National-level notification of potential public health emergency,WHO/WOAH notification,1.0
2679,National-level notification of potential public health emergency,Implement vector control measures,1.0
2680,National-level notification of potential public health emergency,Coordinate national response across sectors,1.0
2681,National-level notification of potential public health emergency,Conduct anthropological assessment,0.0
2682,National-level notification of potential public health emergency,Issue request for assistance,0.0
2683,National-level notification of potential public health emergency,Complete descriptive analysis of outbreak,0.0
2684,National-level notification of potential public health emergency,Construct case definitions,0.0
2685,National-level notification of potential public health emergency,Provide clinical care,2.0
2686,National-level notification of potential public health emergency,Collect data to assess magnitude and nature of the event,0.0
2687,National-level notification of potential public health emergency,Collect biological and environmental samples,1.0
2688,National-level notification of potential public health emergency,Update cross-border agreements,0.0
2689,National-level notification of potential public health emergency,Train workforce in clinical care and case management practices,0.0
2690,National-level notification of potential public health emergency,"""Maintain sanitation of facilities, buildings, vehicles and equipment used for animals""",0.0
2691,National-level notification of potential public health emergency,Manage and coordinate data collection and reporting,0.0
2692,National-level notification of potential public health emergency,Create and distribute standard treatment guidance ,0.0
2693,National-level notification of potential public health emergency,Close food premises or prohibit the sale or use of foods,0.0
2694,National-level notification of potential public health emergency,Identify and share relevant legislation and regulations across sectors,0.0
2695,National-level notification of potential public health emergency,Implement infection prevention and control (IPC) measures,1.0
2696,National-level notification of potential public health emergency,Identify infrastructure for isolation and quarantine facilities,0.0
2697,National-level notification of potential public health emergency,Transport samples internationally,0.0
2698,National-level notification of potential public health emergency,Manage emergency operations center (EOC) operations,0.0
2699,National-level notification of potential public health emergency,Create inter-agency coordinating committee,1.0
2700,National-level notification of potential public health emergency,Collect vaccination data,0.0
2701,National-level notification of potential public health emergency,Declare outbreak nationally,0.0
2702,National-level notification of potential public health emergency,Establish sample collection and transport protocols,0.0
2703,National-level notification of potential public health emergency,Coordinate response with international partners,3.0
2704,National-level notification of potential public health emergency,Ensure power is available for humanitarian response activities,0.0
2705,National-level notification of potential public health emergency,Remove implicated foods from market,0.0
2706,National-level notification of potential public health emergency,Train workforce on infection prevention & control (IPC) guidelines,0.0
2707,National-level notification of potential public health emergency,Establish public hotline or call center,0.0
2708,National-level notification of potential public health emergency,Engage the media,0.0
2709,National-level notification of potential public health emergency,Develop plan for the safe disposal of waste,0.0
2710,National-level notification of potential public health emergency,Provide funding and/or financing,1.0
2711,National-level notification of potential public health emergency,Train workforce in epidemic intelligence,0.0
2712,National-level notification of potential public health emergency,Manage clinical data,0.0
2713,National-level notification of potential public health emergency,Train contact tracers,0.0
2714,National-level notification of potential public health emergency,Train community on surveillance and/or contact tracing,0.0
2715,National-level notification of potential public health emergency,Identify reporting lines,0.0
2716,National-level notification of potential public health emergency,Complete public health needs assessment,0.0
2717,National-level notification of potential public health emergency,Document and communicate the results of epidemiological investigation,0.0
2718,National-level notification of potential public health emergency,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",0.0
2719,National-level notification of potential public health emergency,Activate emergency operations center (EOC),0.0
2720,National-level notification of potential public health emergency,Provide clean water,2.0
2721,National-level notification of potential public health emergency,Provide mental health and counseling services,0.0
2722,National-level notification of potential public health emergency,Deactivate emergency operations center (EOC),0.0
2723,National-level notification of potential public health emergency,Notification of International Health Regulation (IHR) event,0.0
2724,National-level notification of potential public health emergency,Engage in ongoing dialogue with community,0.0
2725,National-level notification of potential public health emergency,Identify at risk population,0.0
2726,National-level notification of potential public health emergency,Integrate and analyze surveillance data,0.0
2727,National-level notification of potential public health emergency,Consider issuing trade restrictions,0.0
2728,National-level notification of potential public health emergency,Staff isolation facilities,0.0
2729,National-level notification of potential public health emergency,Confirm diagnoses,1.0
2730,National-level notification of potential public health emergency,Genetically sequence samples,0.0
2731,National-level notification of potential public health emergency,Compensate impacted populations,0.0
2732,National-level notification of potential public health emergency,Develop SOPs for burials,0.0
2733,National-level notification of potential public health emergency,Perform contact tracing activities,0.0
2734,National-level notification of potential public health emergency,Identify vulnerable populations,0.0
2735,National-level notification of potential public health emergency,Form differential diagnosis,0.0
2736,National-level notification of potential public health emergency,Assessment of surveillance systems,0.0
2737,National-level notification of potential public health emergency,Provide shelter for displaced populations,0.0
2738,National-level notification of potential public health emergency,"""Dispose of animal carcasses, litter, and animal products""",0.0
2739,National-level notification of potential public health emergency,Manage supply chain for consumable medical equipment,0.0
2740,National-level notification of potential public health emergency,Mobilize and train volunteers,0.0
2741,National-level notification of potential public health emergency,Determine mode of transmission,0.0
2742,National-level notification of potential public health emergency,Plan systematic study,0.0
2743,National-level notification of potential public health emergency,"""Test for antiviral, antibiotic, and/or vaccine resistance""",0.0
2744,National-level notification of potential public health emergency,Coordinate with security sector and law enforcement,0.0
2745,National-level notification of potential public health emergency,Initiate attribution investigation,0.0
2746,National-level notification of potential public health emergency,Acquire road transportation vehicles,0.0
2747,National-level notification of potential public health emergency,Carry out screening/testing activities,0.0
2748,National-level notification of potential public health emergency,Quarantine and controls on movement of animals and potentially contaminated vehicles and personnel,0.0
2749,National-level notification of potential public health emergency,Procure diagnostics and laboratory testing material,0.0
2750,National-level notification of potential public health emergency,Transport samples domestically,0.0
2751,National-level notification of potential public health emergency,"""Acquire personal protective equipment (PPE), chlorine and detergent, and decontamination tools required""",0.0
2752,National-level notification of potential public health emergency,Share information and key messages with the public,3.0
2753,National-level notification of potential public health emergency,Strengthen or revise infection prevention and control (IPC) guidelines,0.0
2754,National-level notification of potential public health emergency,Monitor and manage suspected cases,0.0
2755,National-level notification of potential public health emergency,Collect and manage data on security-related threats and events,0.0
2756,National-level notification of potential public health emergency,Share genetic sequence data with international community,0.0
2757,National-level notification of potential public health emergency,Conduct risk assessment,0.0
2758,National-level notification of potential public health emergency,Promote good hygiene practices,1.0
2759,National-level notification of potential public health emergency,Count deaths,7.0
2760,National-level notification of potential public health emergency,Transport or evacuate patients,0.0
2761,National-level notification of potential public health emergency,"""Ensure proper water, sanitation, and hygiene (WASH)""",0.0
2762,National-level notification of potential public health emergency,Develop or update instruments governing public health surveillance and response,0.0
2763,National-level notification of potential public health emergency,Explore fundraising options,0.0
2764,National-level notification of potential public health emergency,Develop hypothesis to explain specific exposure that caused disease,1.0
2765,National-level notification of potential public health emergency,Consider enforcing physical distancing measures of infectious patients,0.0
2766,National-level notification of potential public health emergency,Perform active case finding,0.0
2767,National-level notification of potential public health emergency,Initiate immunization campaign,0.0
2768,National-level notification of potential public health emergency,Conduct and assess statistical analysis,0.0
2769,National-level notification of potential public health emergency,Identify and train local spokespersons,0.0
2770,National-level notification of potential public health emergency,Determine the existence of an outbreak,0.0
2771,National-level notification of potential public health emergency,Empower community to make decisions and implement and manage change,0.0
2772,National-level notification of potential public health emergency,Integrate humanitarian risk and public health data,0.0
2773,National-level notification of potential public health emergency,Assess impacts to local banks and economic systems,0.0
2774,National-level notification of potential public health emergency,Collect case patient information,0.0
2775,National-level notification of potential public health emergency,Provide medical countermeasures (MCMs),0.0
2776,National-level notification of potential public health emergency,Publish and share data,0.0
2777,National-level notification of potential public health emergency,Humanely destroy all infected and exposed animals,0.0
2778,National-level notification of potential public health emergency,"""Surveillance and tracing of potentially infected or exposed domestic animals, livestock, and wildlife""",1.0
2779,National-level notification of potential public health emergency,Identify agent based on laboratory testing,4.0
2780,National-level notification of potential public health emergency,Initiate medical response,0.0
2781,National-level notification of potential public health emergency,Diagnose cases,1.0
2782,National-level notification of potential public health emergency,Manage potential clashes in national policy,0.0
2783,Determine policy on mandatory screenings and/or testing,Monitor the long-term safety and efficacy of vaccines,0.0
2784,Determine policy on mandatory screenings and/or testing,Identify travel or border restrictions,2.0
2785,Determine policy on mandatory screenings and/or testing,Ongoing communication with funders,0.0
2786,Determine policy on mandatory screenings and/or testing,Procure sampling material,0.0
2787,Determine policy on mandatory screenings and/or testing,WHO/WOAH notification,2.0
2788,Determine policy on mandatory screenings and/or testing,Implement vector control measures,0.0
2789,Determine policy on mandatory screenings and/or testing,Coordinate national response across sectors,0.0
2790,Determine policy on mandatory screenings and/or testing,Conduct anthropological assessment,0.0
2791,Determine policy on mandatory screenings and/or testing,Issue request for assistance,0.0
2792,Determine policy on mandatory screenings and/or testing,Complete descriptive analysis of outbreak,0.0
2793,Determine policy on mandatory screenings and/or testing,Construct case definitions,1.0
2794,Determine policy on mandatory screenings and/or testing,Provide clinical care,1.0
2795,Determine policy on mandatory screenings and/or testing,Collect data to assess magnitude and nature of the event,0.0
2796,Determine policy on mandatory screenings and/or testing,Collect biological and environmental samples,0.0
2797,Determine policy on mandatory screenings and/or testing,Update cross-border agreements,1.0
2798,Determine policy on mandatory screenings and/or testing,Train workforce in clinical care and case management practices,0.0
2799,Determine policy on mandatory screenings and/or testing,"""Maintain sanitation of facilities, buildings, vehicles and equipment used for animals""",0.0
2800,Determine policy on mandatory screenings and/or testing,Manage and coordinate data collection and reporting,0.0
2801,Determine policy on mandatory screenings and/or testing,Create and distribute standard treatment guidance ,0.0
2802,Determine policy on mandatory screenings and/or testing,Close food premises or prohibit the sale or use of foods,0.0
2803,Determine policy on mandatory screenings and/or testing,Identify and share relevant legislation and regulations across sectors,0.0
2804,Determine policy on mandatory screenings and/or testing,Implement infection prevention and control (IPC) measures,1.0
2805,Determine policy on mandatory screenings and/or testing,Identify infrastructure for isolation and quarantine facilities,1.0
2806,Determine policy on mandatory screenings and/or testing,Transport samples internationally,1.0
2807,Determine policy on mandatory screenings and/or testing,Manage emergency operations center (EOC) operations,0.0
2808,Determine policy on mandatory screenings and/or testing,Create inter-agency coordinating committee,0.0
2809,Determine policy on mandatory screenings and/or testing,Collect vaccination data,0.0
2810,Determine policy on mandatory screenings and/or testing,Declare outbreak nationally,0.0
2811,Determine policy on mandatory screenings and/or testing,Establish sample collection and transport protocols,0.0
2812,Determine policy on mandatory screenings and/or testing,Coordinate response with international partners,1.0
2813,Determine policy on mandatory screenings and/or testing,Ensure power is available for humanitarian response activities,0.0
2814,Determine policy on mandatory screenings and/or testing,Remove implicated foods from market,0.0
2815,Determine policy on mandatory screenings and/or testing,Train workforce on infection prevention & control (IPC) guidelines,0.0
2816,Determine policy on mandatory screenings and/or testing,Establish public hotline or call center,0.0
2817,Determine policy on mandatory screenings and/or testing,Engage the media,0.0
2818,Determine policy on mandatory screenings and/or testing,Develop plan for the safe disposal of waste,0.0
2819,Determine policy on mandatory screenings and/or testing,Provide funding and/or financing,0.0
2820,Determine policy on mandatory screenings and/or testing,Train workforce in epidemic intelligence,0.0
2821,Determine policy on mandatory screenings and/or testing,Manage clinical data,1.0
2822,Determine policy on mandatory screenings and/or testing,Train contact tracers,0.0
2823,Determine policy on mandatory screenings and/or testing,Train community on surveillance and/or contact tracing,0.0
2824,Determine policy on mandatory screenings and/or testing,Identify reporting lines,1.0
2825,Determine policy on mandatory screenings and/or testing,Complete public health needs assessment,0.0
2826,Determine policy on mandatory screenings and/or testing,Document and communicate the results of epidemiological investigation,1.0
2827,Determine policy on mandatory screenings and/or testing,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",0.0
2828,Determine policy on mandatory screenings and/or testing,Activate emergency operations center (EOC),0.0
2829,Determine policy on mandatory screenings and/or testing,Provide clean water,0.0
2830,Determine policy on mandatory screenings and/or testing,Provide mental health and counseling services,0.0
2831,Determine policy on mandatory screenings and/or testing,Deactivate emergency operations center (EOC),0.0
2832,Determine policy on mandatory screenings and/or testing,Notification of International Health Regulation (IHR) event,0.0
2833,Determine policy on mandatory screenings and/or testing,Engage in ongoing dialogue with community,0.0
2834,Determine policy on mandatory screenings and/or testing,Identify at risk population,1.0
2835,Determine policy on mandatory screenings and/or testing,Integrate and analyze surveillance data,0.0
2836,Determine policy on mandatory screenings and/or testing,Consider issuing trade restrictions,0.0
2837,Determine policy on mandatory screenings and/or testing,Staff isolation facilities,0.0
2838,Determine policy on mandatory screenings and/or testing,Confirm diagnoses,1.0
2839,Determine policy on mandatory screenings and/or testing,Genetically sequence samples,0.0
2840,Determine policy on mandatory screenings and/or testing,Compensate impacted populations,0.0
2841,Determine policy on mandatory screenings and/or testing,Develop SOPs for burials,0.0
2842,Determine policy on mandatory screenings and/or testing,Perform contact tracing activities,2.0
2843,Determine policy on mandatory screenings and/or testing,Identify vulnerable populations,0.0
2844,Determine policy on mandatory screenings and/or testing,Form differential diagnosis,0.0
2845,Determine policy on mandatory screenings and/or testing,Assessment of surveillance systems,0.0
2846,Determine policy on mandatory screenings and/or testing,Provide shelter for displaced populations,0.0
2847,Determine policy on mandatory screenings and/or testing,"""Dispose of animal carcasses, litter, and animal products""",0.0
2848,Determine policy on mandatory screenings and/or testing,Manage supply chain for consumable medical equipment,0.0
2849,Determine policy on mandatory screenings and/or testing,Mobilize and train volunteers,0.0
2850,Determine policy on mandatory screenings and/or testing,Determine mode of transmission,0.0
2851,Determine policy on mandatory screenings and/or testing,Plan systematic study,0.0
2852,Determine policy on mandatory screenings and/or testing,"""Test for antiviral, antibiotic, and/or vaccine resistance""",0.0
2853,Determine policy on mandatory screenings and/or testing,Coordinate with security sector and law enforcement,1.0
2854,Determine policy on mandatory screenings and/or testing,Initiate attribution investigation,0.0
2855,Determine policy on mandatory screenings and/or testing,Acquire road transportation vehicles,1.0
2856,Determine policy on mandatory screenings and/or testing,Carry out screening/testing activities,3.0
2857,Determine policy on mandatory screenings and/or testing,Quarantine and controls on movement of animals and potentially contaminated vehicles and personnel,0.0
2858,Determine policy on mandatory screenings and/or testing,Procure diagnostics and laboratory testing material,0.0
2859,Determine policy on mandatory screenings and/or testing,Transport samples domestically,0.0
2860,Determine policy on mandatory screenings and/or testing,"""Acquire personal protective equipment (PPE), chlorine and detergent, and decontamination tools required""",0.0
2861,Determine policy on mandatory screenings and/or testing,Share information and key messages with the public,2.0
2862,Determine policy on mandatory screenings and/or testing,Strengthen or revise infection prevention and control (IPC) guidelines,0.0
2863,Determine policy on mandatory screenings and/or testing,Monitor and manage suspected cases,4.0
2864,Determine policy on mandatory screenings and/or testing,Collect and manage data on security-related threats and events,0.0
2865,Determine policy on mandatory screenings and/or testing,Share genetic sequence data with international community,0.0
2866,Determine policy on mandatory screenings and/or testing,Conduct risk assessment,0.0
2867,Determine policy on mandatory screenings and/or testing,Promote good hygiene practices,1.0
2868,Determine policy on mandatory screenings and/or testing,Count deaths,2.0
2869,Determine policy on mandatory screenings and/or testing,Transport or evacuate patients,1.0
2870,Determine policy on mandatory screenings and/or testing,"""Ensure proper water, sanitation, and hygiene (WASH)""",0.0
2871,Determine policy on mandatory screenings and/or testing,Develop or update instruments governing public health surveillance and response,0.0
2872,Determine policy on mandatory screenings and/or testing,Explore fundraising options,0.0
2873,Determine policy on mandatory screenings and/or testing,Develop hypothesis to explain specific exposure that caused disease,1.0
2874,Determine policy on mandatory screenings and/or testing,Consider enforcing physical distancing measures of infectious patients,2.0
2875,Determine policy on mandatory screenings and/or testing,Perform active case finding,0.0
2876,Determine policy on mandatory screenings and/or testing,Initiate immunization campaign,0.0
2877,Determine policy on mandatory screenings and/or testing,Conduct and assess statistical analysis,0.0
2878,Determine policy on mandatory screenings and/or testing,Identify and train local spokespersons,0.0
2879,Determine policy on mandatory screenings and/or testing,Determine the existence of an outbreak,0.0
2880,Determine policy on mandatory screenings and/or testing,Empower community to make decisions and implement and manage change,0.0
2881,Determine policy on mandatory screenings and/or testing,Integrate humanitarian risk and public health data,0.0
2882,Determine policy on mandatory screenings and/or testing,Assess impacts to local banks and economic systems,0.0
