Activity,Function,Category,Phases,Description
Construct case definitions,Epidemiological investigation,Epidemiology & lab analysis,"Detection, Early response","<p>Once an outbreak has been identified, a case definition must be constructed.</p><p>A case definition is a standard set of criteria for deciding whether an individual should be classified as having a health condition of interest.<sup class=""footnote"" data-id=""1"">1</sup> Based on evidence available, a case may be classified as suspected, probable or confirmed.</p><p>Case definitions often include both clinical and laboratory criteria for identifying probable and confirmed cases. Clinical criteria incorporate a combination of symptoms, physical signs, etiologic agents and confirmatory laboratory tests.<sup class=""footnote"" data-id=""2"">2</sup> Additional elements of a case definition are criteria regarding person, place, and time.</p><p><ul><li><ul><li>Person: describes key characteristics the patients share in common. For example, this</li><li>description may include: age, sex, race, occupation and exclusion criteria</li><li>Place: describes a specific geographic location or facility associated with the outbreak</li><li>Time: delineates a period of time associated with illness onset for the cases under investigation. Limiting the time period enables exclusion of similar illnesses which are unrelated to the outbreak of interest.<sup class=""footnote"" data-id=""3"">3</sup></li></ul></li></ul></p><p>The development of a clear case definition is critical to the effective investigation of an outbreak.<sup class=""footnote"" data-id=""4"">4</sup> Criteria should be specific to the outbreak under investigation. The components of an outbreak case definition vary for each outbreak, and the case definition should be framed accordingly. Case definitions can be modified as additional information becomes available. Early on in an outbreak, interim case definitions may be issued following the steps above, and updated as more information is obtained. Once set, a common case definition for diseases of national or international interest can be used as a standard to ensure geographic and temporal comparability should new cases appear.</p>"
"Control food hazards, pests, and other agents likely to contaminate food",Food safety,Healthcare & IPC,"Surveillance & preparedness, Detection, Early response, Intervention, Post-intervention & recovery","<p>Food safety is a critical everyday function defined as the assurance that food will not cause harm to the consumer when it is prepared and/or eaten according to its intended use.<sup class=""footnote"" data-id=""1"">1</sup> Foodborne illness is a growing public health problem globally, with diarrheal disease the most common manifestation at 550 million cases annually worldwide.<sup class=""footnote"" data-id=""2"">2</sup> Salmonellosis, trichinellosis, and bovine tuberculosis are examples of pathogens that regularly impact food safety; outbreaks of emerging zoonotic infections in livestock could also harm the food supply, and consumption of wildlife (a less regulated sector in many countries) is also a risk factor for food-borne illness.</p><p>To prevent these outbreaks, food producers and the entire chain of services that process, prepare, and deliver food from farms to consumers must adhere to a variety of national and/or subnational regulations; if the food is shipped across international borders, additional guidance or directives may apply. For this reason, food safety is a core function that is implemented across all phases of outbreak activity, beginning with surveillance and preparedness prior to any outbreak, and into detection, early response, intervention, and post-intervention and recovery. The safety of food consumed by people can become an issue if infectious agents have contaminated the food product. This can occur if an animal is infected with a pathogen harmful to people, or if a food product (animal or non-animal) becomes contaminated with a pathogen in the process of production or handling. (Note: food safety activity also covers non-infectious agents, such as harmful chemicals or pharmaceuticals that may enter the food supply.)</p><p>The U.N. Food and Agriculture Organization together with the World Health Organization publishes the <em>Codex Alimentarius</em> , a text that describes a recommended code of practice to ensure food hygiene.<sup class=""footnote"" data-id=""3"">3</sup> It identifies essential principles of food hygiene applicable throughout the food chain (including primary production through to the final consumer) to ensure that food is safe and suitable for human consumption. To achieve this, it recommends a Hazard Analysis and Critical Control Point (HACCP) System approach. The guide explains how food producers and processers can assure food safety, principles that apply whether or not there is an outbreak:</p><p><ul><li>Hygiene during the primary production process</li> <li>Designing facilities to help ensure hygiene</li> <li>Controlling food hazards in the course of operations</li> <li>Maintenance and sanitization</li> <li>Personnel hygiene</li> <li>Transportation</li> <li>Training</li> <li>Consumer awareness</li></ul></p><p>In the event of an outbreak, particular food safety issues may come into play. A given pathogen may be managed through implementation of a particular decontamination process, for instance; alternatively, the food may need to be removed from the food supply completely.</p>"
Coordinate national response across sectors,Operational coordination,Governance & coordination,"Early response, Intervention, Post-intervention & recovery",A comprehensive description of this activity is coming soon.
Coordinate response with international partners,Operational coordination,Governance & coordination,"Early response, Intervention, Post-intervention & recovery",A comprehensive description of this activity is coming soon.
Coordinate with security sector and law enforcement,"Protection, Support for law enforcement, Operational coordination","Safety & security, Governance & coordination","Intervention, Early response, Post-intervention & recovery",A comprehensive description of this activity is coming soon.
Count cases,"Epidemiological investigation, Attribution investigation, Surveillance and epidemic intelligence","Epidemiology & lab analysis, Safety & security","Intervention, Surveillance & preparedness, Post-intervention & recovery, Detection, Early response","<p>After a case definition is established, the number of cases should be determined, and information should be collected on each case. This information will directly support epidemiological investigations and can also support attribution investigations.</p><p>Case counts can be derived from case reports submitted by health-care workers and laboratories<sup class=""footnote"" data-id=""1"">1</sup> and through systematic searches of a variety of sources to reduce the possibility of ascertainment bias. Relevant sources include:</p><p><ul><li>Public health agency surveillance data;</li> <li>Medical system records from hospitals, laboratories, or ambulatory care settings;</li> <li>Institutional setting records (e.g., school and workplace attendance records); and</li> <li>Special surveys<sup class=""footnote"" data-id=""2"">2</sup></li></ul></p><p>A line list should be used to collect and organize preliminary information on cases identified. Data collected on each case can be systematically recorded on paper or using an electronic database. To set up line listing, create a table in which each row represents a separate case assigned a unique identifier (CaseID) and each column represents a variable of interest.<sup class=""footnote"" data-id=""3"">3</sup> The information needed from each identified case varies depending on the outbreak, but typically includes: Case ID; Case-patient initials; Age; Sex; Onset date of symptoms; Current Status/Diagnosis; Location; Caste Category; Epi Links; Underlying Conditions; Specimens Collected; Testing Required; Results of Laboratory Testing.<sup class=""footnote"" data-id=""4"">4</sup> This information can be used for further investigative studies and hypothesis testing.</p>"
Count deaths,Decedent management,Healthcare & IPC,"Early response, Intervention, Post-intervention & recovery","<p>Identification of bodies and remains are made based upon the comparison of post-mortem and ante-mortem information.<sup class=""footnote"" data-id=""1"">1</sup> Ante-mortem data (data about the presumed or missing victims) should begin to be collected during or immediately after the event.</p><p>Ante-mortem data often comes from close relatives or friends of the presumed victims, and the collection of the data often occurs at a very difficult point in time for these interviewees. Therefore, all efforts should be made to collect data compassionately, and to have all resources on-hand, including psychiatrists and psychologists, to makes sure that data collection is successful. Other individuals who may be able to provide information through interviews include healthcare providers and witnesses of the event.<sup class=""footnote"" data-id=""2"">2</sup></p><p>Information generally collected includes:</p><p><ul><li>General information about the presumed victim, including age, gender, height, race, hair color, identifying skin markers, and other notable characteristics;</li> <li>Clothing and jewelry worn by the presumed victim;</li> <li>Documents carried by the presumed victim;</li> <li>Documents, such as photographs, that may assist in identifying the victim;</li> <li>Medical files, including X-rays, laboratory tests, medical procedures and outcomes, and other clinical information;</li> <li>Genetic information or DNA samples from the presumed victim or close relatives;</li> <li>Other identifying information, such as fingerprints or dental charts.<sup class=""footnote"" data-id=""3"">3</sup><sup>,</sup><sup class=""footnote"" data-id=""4"">4</sup></li></ul></p><p>When conducting these interviews, it is necessary to note the degree of confidence with which each interviewee offers information, as incorrect information may lead to incorrect identification of one or more remains. In addition, ranges should be given for the data provided.<sup class=""footnote"" data-id=""5"">5</sup> This data should be compiled into victim identification files.<sup class=""footnote"" data-id=""6"">6</sup></p><p>In cases of large-scale disasters which involve the collection of ante-mortem data from multiple nations, all parties should agree to adopt the same international standards for collecting such data and make efforts to combine them into a centralized database.<sup class=""footnote"" data-id=""7"">7</sup> Quality control measures may need to be implemented in these cases.</p><p>In addition, the cultural background of the situation should be considered when collecting ante-mortem data. In certain cases, where close relatives or friends of victims may not legally registered in their country, confidentiality may need to be guaranteed.<sup class=""footnote"" data-id=""8"">8</sup></p>"
Create and distribute standard treatment guidance ,Clinical care and case management,Healthcare & IPC,"Detection, Early response, Intervention","<p>Once healthcare workers have been notified about an outbreak, they will require clinical guidance for case management based on the best available information about the disease. As the outbreak continues, updated guidance and training reflecting new understanding will be needed.</p><p>Clinical guidelines are “systematically developed statements to assist practitioner and patient decisions about appropriate health care for specific clinical circumstances.”<sup class=""footnote"" data-id=""1"">1</sup> They are designed to help patients and their providers make decisions about their health care. They should be developed in a formal, systematic way; the development of effective guidelines is exceptionally challenging and requires the collection and analysis of scientific evidence, an understanding of decision-making processes including group dynamics, and presenting complex information in a useful form.</p><p>Some countries may choose to develop their own guidance for clinicians and their patients through their health ministries or public health departments. For emerging infections about which little may be known, all countries will benefit from the support of experts who are closely examining the epidemiology of the pathogen and clinical course of disease. For this purpose, the World Health Organization (WHO) develops operational guidance during outbreaks to support case management. This guidance provides simplified tools for triage, infection prevention and control, and supportive management that can be immediately used and adapted to the field.<sup class=""footnote"" data-id=""2"">2</sup> WHO has a formal expert-driven process for the generation of clinical guidance, but emergencies may dictate a more rapid and streamlined process and the provision of interim guidance that is subject to update. WHO guidelines are designed as a supportive tool and are not meant to replace clinical judgement, but rather to strengthen frontline clinical management.<sup class=""footnote"" data-id=""3"">3</sup></p><p>Once guidance is developed, it needs to be distributed to all healthcare providers who may encounter patients with the disease in question. This can occur through a variety of channels, including by leveraging the mapping of healthcare resources that has already occurred and ensuring that the stakeholders within this system receive the information through mail, television, radio, social media, websites, in-person training sessions, and other available routes of communication.</p>"
Create inter-agency coordinating committee,"Surveillance and epidemic intelligence, Governance and policy","Epidemiology & lab analysis, Governance & coordination",Surveillance & preparedness,"<p>The creation of a governmental inter-agency committee is crucial to the effective, timely and coordinated multisectoral response to a public health event. A multisectoral approach to emergency preparedness is intrinsic to the International Health Regulations (IHR); the word “multisectoral” is mentioned in the Joint External Evaluation (JEE) tool 93 times.<sup class=""footnote"" data-id=""1"">1</sup> Specific attributes and roles of the inter-agency coordinating committee are also described in the JEE tool, with respect to achieving IHR compliance. For example, establishment of “a functional mechanism…for the coordination and integration of relevant sectors in the implementation of IHR”, including for outbreak response activities, is described under indicator P.2.1 of the JEE tool.<sup class=""footnote"" data-id=""2"">2</sup> Other JEE technical areas that explicitly reference the need for multisectoral collaboration, and thus could be facilitated through the work of the inter-agency coordinating committee, include: Antimicrobial Resistance (indicator P.3.1); Zoonotic Disease (indicators P.4.1 and P.4.2); Biosafety and Biosecurity (indicator P.6.1); Reporting (indicators D.3.1 and D.3.2); Human Resources (indicator D.4.1); Emergency preparedness (indicators R.1.1 and R.1.2); Linking Public Health and Security Authorities (indicator R.3.1); Risk Communication (indicators R.5.1 and R.5.2); Points of Entry (indicators PoE. 1 and PoE. 2); and Chemical Events (indicator CE. 2).</p><p>The inter-agency coordinating committee should include officials across all relevant ministries, agencies and departments that contribute to the prevention, detection, and response to public health emergencies. The National Focal Point for the International Health Regulations (IHR) must be represented in the committee. Examples of other stakeholders that should be represented on the inter-agency coordinating committee include the directorates of health services, directorates of veterinary services, the food safety agency, disaster management authorities, humanitarian response agencies, environmental protection authorities, regulatory bodies, national reference laboratories (human and animal), and the national public health Emergency Operations Center. The committee should not be formed <em>ad hoc </em> at the outset of an emerging event but rather meet regularly, such as on a monthly or quarterly business, in order to be most effective at mitigating and rapidly responding to new threats. The inter-agency coordinating committee is often well placed to develop the national public health emergency response plan, incorporating input from all relevant sectors, and ensuring formalized mechanisms are established between the various stakeholders to ensure the timely and comprehensive sharing of information. At its outset, the inter-agency coordinating committee should also be authorized to make recommendations on specific problems, and ensure the ability—including adequate financial resources—the assign task forces or teams to address emerging threats. The inter-agency coordinating committee should also be responsible for the regular review and updating as needed of the national public health emergency response plan, and any associated hazard-specific plans.<sup class=""footnote"" data-id=""3"">3</sup> Other plans and policies foundational to the implementation of IHR that the inter-agency coordinating committee may develop, or contribute to, include plans for integrated surveillance for antimicrobial resistance, lists of national priority zoonotic diseases, and workforce development strategies.</p><p>Routine activities that can be performed by the inter-agency coordinating committee, and included as items of business at the regular meetings, include:</p><p><ul><li>Sharing of information on each sector’s risk monitoring;</li> <li>Reviewing stocks of equipment for event investigation and response;</li> <li>Providing recommendations on on-going or emerging events of potential public health importance. </li></ul></p><p>It is important to note that the information-sharing that forms the core of the inter-agency coordinating committee’s mandate and purpose should be multidirectional, with all stakeholders receiving mutual benefit to advance their own sectoral priorities. Given the increasing recognition of the potential for overlap between public health emergencies and humanitarian crises, the function and outputs of the inter-agency coordinating committee should also be aligned with efforts by national and international humanitarian stakeholders, for example in the context of the Sendai Framework for Disaster Risk Reduction (2015-2030).<sup class=""footnote"" data-id=""4"">4</sup></p>"
Deactivate emergency operations center (EOC),Operational coordination,Governance & coordination,Post-intervention & recovery,"<p>The Emergency Operations Center (EOC) may be deactivated when the outbreak has been stabilized and is decreasing in complexity. The EOC is deemed no longer necessary to manage the threat due to fewer outbreak-related concerns.<sup class=""footnote"" data-id=""1"">1</sup> To make this decision, health authorities and other relevant leadership must assess certain factors including:</p><p><ul><li><strong>Incident command</strong></li> <li><strong>Nature and magnitude of the incident</strong></li> <li><strong>Hazards and safety concerns</strong></li> <li><strong>Priorities and resource requirements</strong></li> <li><strong>Activation level and staffing</strong></li></ul></p><p>The emergency plan should contain guidance for deactivation, including who is/are to authorize deactivation and how to release subordinate staff from duties when appropriate. It is critical to ensure that ongoing actions are acknowledged and transferred to responsible parties as needed. If EOC decision-makers are not on-site, they should determine deactivation processes in collaboration with individuals at the EOC. Any forms, reports, and other assessments should be submitted prior to deactivation.<sup class=""footnote"" data-id=""2"">2</sup><sup>,</sup><sup class=""footnote"" data-id=""3"">3</sup></p><p>Deactivation does not necessarily imply that the threat of the disease has decreased in importance or that the risk of infection is gone. The threat may still exist within the United States and/or abroad.<sup class=""footnote"" data-id=""4"">4</sup></p>"
Declare outbreak nationally,"Governance and policy, Communication",Governance & coordination,"Detection, Early response","<p>In the case of a disease outbreak, relevant health and/or government authorities will issue a formal proclamation regarding the existence of the outbreak. A national level declaration is issued when “the outbreak is ongoing, the illnesses are severe, the number of new illnesses is increasing rapidly, there is no known treatment, vaccine, or the pathogen is resistant to antibiotics”. <sup class=""footnote"" data-id=""1"">1</sup> A national declaration serves to formally notify national, regional, and local decision-makers and experts, as well as the general population about the public health event. This can include guidance on what individuals can do to protect their health, any urgent, specific advice to retailers, restaurants, and other businesses, and basic epidemiological information including how many people are sick, the known signs and symptoms of the disease, and other investigation details. The announcement can be made using a combination of formal communication channels, the leading health agencies’ website, and social media to ensure that a broad audience receives the message.</p>"
Declare that the outbreak is over,"Governance and policy, Communication",Governance & coordination,Post-intervention & recovery,"<p>Declaring an outbreak is over is a key step in communicating risk and “informing decisions to demobilize outbreak resources and remove temporary restrictions that may have been instituted to mitigate risk.”<sup class=""footnote"" data-id=""1"">1</sup> It is essential to coordinate the timing and messaging in all communications regarding the end of the outbreak in order to “avoid misinterpretation and confusion.<sup class=""footnote"" data-id=""2"">2</sup></p><p>The decision to declare that an outbreak is over should be made using a science-based approach and will be determined by the “etiology of the disease-causing agent including the mode of transmission, incubation period and period of communicability of the specific agent.”<sup class=""footnote"" data-id=""3"">3</sup> There are several key criteria used to decide when to declare the end of an outbreak:</p><p><ul><li>The number of new reported cases drops to the number normally expected, i.e. baseline levels<sup class=""footnote"" data-id=""4"">4</sup></li> <li>No confirmed or probable cases detected for a defined period of time, for example two incubation periods for the organism have passed since the end of symptoms in the last case or since the last potential exposure to the last case occurred<sup class=""footnote"" data-id=""5"">5</sup></li></ul></p><p>Be aware of the possibility of re-emergence and continue to monitor health surveillance networks. If the number of cases increases again, the epidemiological investigation should resume or restart.</p>"
Define and document SOPs for surveillance and epidemic intelligence,Surveillance and epidemic intelligence,Epidemiology & lab analysis,Surveillance & preparedness,"<p>Standard Operating Procedures (SOPs) and other guidance documents should be developed, regularly assessed and updated, and circulated widely at all levels of administration (national, intermediate, and local) to support surveillance and epidemic intelligence.<sup class=""footnote"" data-id=""1"">1</sup>  In order to ensure early detection and alert for cases of priority diseases or emerging outbreaks, these SOPs should include, but are not limited to:<sup class=""footnote"" data-id=""2"">2</sup></p><p><ul><li>Information sources</li> <li>Detection of signals</li> <li>Verification of events</li> <li>Analysis of threats</li> <li>Communication (this may also include reporting and notification)</li> <li>Documentation</li></ul></p><p>Specific SOPs should also be developed related to providing laboratory support to surveillance. These are described in more detail under the laboratory-specific activities, but at minimum should include guidelines for sample collection (including which samples to collect, how and when to collect them, and where they should be sent), handling, packaging, transport, and elimination. These SOPs should also include biosafety, and, where appropriate, biosecurity considerations.</p><p>The developed SOPs should be aligned with national and international guidelines (and/or regional guidelines, as appropriate), and be available alongside other key reference documents, such as a regularly reviewed and updated list of priority diseases/events under surveillance, up-to-date case definitions for those priority diseases/events, and defined thresholds for action (derived from evidence-based review of baselines and trends) for each priority disease/event.<sup class=""footnote"" data-id=""3"">3</sup> While priority should be given to developing general SOPs that can be applied to most public health events, countries may also decide to develop disease- or event-specific surveillance and epidemic intelligence SOPs in some cases, for example to better align with regional priorities or as part of a broader elimination strategy. WHO, for example, has developed an SOP specifically for meningitis surveillance, which can be used by affected countries as a template for their own national SOPs.<sup class=""footnote"" data-id=""4"">4</sup></p>"
Determine mode of transmission,"Epidemiological investigation, Attribution investigation","Epidemiology & lab analysis, Safety & security","Detection, Early response","<p>Investigators can use an epidemic curve and information about the infectious agent’s biology to make inferences about an outbreak’s most likely mode of transmission. A pathogen can be transmitted from reservoir to host in a number of ways, and these modes of transmission can be classified differently.</p><p>Mode of transmission may be direct or indirect. With direct transmission, the infectious agent is transferred from a reservoir to a susceptible host by direct contact or droplet spread. For direct contact, the agent is transmitted by physical contact between individuals through skin-to-skin contact, kissing, and sexual intercourse. Some kinds of direct transmission are site specific. Droplet spread of a pathogen to a new host refers to spray with relatively large, short-range aerosols produced by sneezing, coughing or talking.<sup class=""footnote"" data-id=""1"">1</sup> For indirect transmission, the infectious agent is transferred by airborne, vehicle-borne or vector-borne (mechanical or biological) means. Airborne transmission involves dust and fine particles known as aerosols suspended in air to carry infectious agents. Vehicles which facilitate indirect transmission include food, water, biologic products, and fomites. A vehicle may passively carry a pathogen or may provide an environment in which the agent grows.<sup class=""footnote"" data-id=""2"">2</sup> Vector transmission occurs through mechanical and biological means. Common vectors include mosquitos, fleas, and ticks.</p><p>When interpreting an epidemic curve (often referred to as an “epi curve”), modes of transmission are typically categorized as point source, continuous common source, and person-to-person spread. In a point source outbreak, people are exposed to the same source over a brief time period. This is observed on the epi curve as the number of cases rising rapidly, peaking, and then gradually decreasing, with most cases occurring within one incubation period of the disease.<sup class=""footnote"" data-id=""3"">3</sup> During continuous common source outbreaks people are exposed to the same source for a prolonged period. The epi curve gradually rises and can plateau. In person-to-person transmission, the epi curve exhibits tall peaks, each representing an incubation period.<sup class=""footnote"" data-id=""4"">4</sup> These curves can provide important clues to investigators regarding the source of an outbreak.</p>"
Determine policy for long-term sample storage,"Governance and policy, Attribution investigation, Laboratory analysis","Governance & coordination, Safety & security, Epidemiology & lab analysis",Surveillance & preparedness,"<p>Sample storage is an important step that supports a complete epidemiological investigation. Samples must be kept properly labeled and in appropriate environmental conditions from the moment they are collected, received at the laboratory, processed, analyzed. Importantly, they must be held indefinitely in storage, and the development of policies and plans to guide that process is essential.</p><p>An epidemiological or attribution investigation may need to return to previously tested samples for additional analysis; maintaining their biological integrity and ensuring identifiers are in place indefinitely is thus requisite. In addition to a central role in supporting ongoing epidemiological investigations, well-characterized specimen collections are critical for future research and development efforts, retrospective studies, and providing reference materials for assay standardization, validation, proficiency testing programs, and potential legal inquiries.<sup class=""footnote"" data-id=""1"">1</sup></p><p>Finding solutions for long-term storage cannot be done extemporaneously. This step requires planning for all of the resources needed to successfully implement it. It also requires the establishment of policies to determine what needs to be stored, for what purpose, at what site, and under what safety and security conditions.</p><p>Laboratory policies should be established for sample <em>retention</em> (not everything needs to be retained); sample <em>referral</em> (documenting when a sample was released); and sample <em>disposal</em> (documentation and ensuring safety).<sup class=""footnote"" data-id=""2"">2</sup> Written policies should be developed that include these elements, as well as:</p><p><ul><li>a description of what samples should be stored</li> <li>retention time</li> <li>location </li> <li>conditions for storage, such as atmospheric and temperature requirements</li> <li>system for storage organization (e.g., by day of receipt or accession number) </li></ul></p><p>The Association of Public Health Laboratories provides best practices for the storage and retention of infectious samples.<sup class=""footnote"" data-id=""3"">3</sup> (While the principles are generally the same, the World Organisation for Animal Health (OIE) provides receipt and storage guidance for animal samples<sup class=""footnote"" data-id=""4"">4</sup> including pathogen-specific storage guidance.<sup class=""footnote"" data-id=""5"">5</sup> ) These practices may be reviewed during policy development to determine all necessary considerations for long-term storage. In general, the following should be considered:</p><p><ul><li><em>Technical and equipment</em>. Storage requirements may vary by specimen type and the pathogen or other biological target (e.g., antibody) that is the subject of the inquiry. Considerations for preserving sample integrity include protection from desiccation, temperature fluctuations, ultraviolet light degradation, humidity, contamination, and the potential for loss of identification documentation.<sup class=""footnote"" data-id=""6"">6</sup> Ultra-low temperatures, such as those provided by liquid nitrogen, or cryopreservation in freezers at or below –140°C, are optimal for long-term storage, although common specimens such as plasma, serum, or DNA can be stored in −80°C mechanical freezers<sup class=""footnote"" data-id=""7"">7</sup>. Freezer storage at –20°C and –80°C are common for periods that may range from months to 5–10 years. Samples for long-term storage may be stored separately from those being used for more frequent access, and doing so will help preserve their integrity.<sup class=""footnote"" data-id=""8"">8</sup> Power supply must be maintained.</li> <li><em>Biosafety. </em>Laboratory staff must be trained in laboratory biosafety as part of sample storage training. Storing samples involves handling samples, and all training designed to ensure laboratory personnel safety applies.</li> <li><em>Biosecurity. </em>Laboratory staff must be trained in laboratory biosecurity as part of sample storage training. The laboratory must have completed a laboratory biorisk assessment and implemented any necessary steps to mitigate identified risks. Ensuring the integrity of the samples for future use while preventing accidents, theft, or inadvertent loss of specimens will preserve the investigation and the health of the laboratory staff and the public.</li> <li><em>Location.</em> If the laboratory has space and resources to maintain the samples on-site given all of the above consideration, it can do so. Alternatively, it may contract with a vendor or other party that can meet all of the necessary storage requirements.</li></ul></p>"
Determine policy on mandatory screenings and/or testing,Governance and policy,Governance & coordination,"Surveillance & preparedness, Detection, Early response, Intervention","<p>Screening and/or testing for disease is a fundamental tool in public health and preventive medicine, serving as a critical means of controlling the spread of epidemics. Emergency response policies should acknowledge their value by providing clear, effective guidelines on this subject. Notably, identification of cases can allow for early and targeted treatment, protect against community transmission, and contribute to an informed understanding of the outbreak. However, individuals may not understand the value of screening. A mandatory testing program could be perceived as a threat against civil liberties<sup class=""footnote"" data-id=""1"">1</sup> rather than an essential component of addressing an outbreak. Policies should also reflect this potential distrust in or rejection of screening and/or testing, providing alternatives when appropriate and enabling compulsory action if necessary.<sup class=""footnote"" data-id=""2"">2</sup></p><p>Policies on mandatory screenings and/or testing should be integrated into the emergency response plan to inform protocols. Collecting surveillance information is generally mandatory and ethically acceptable on the grounds of public interest. This eliminates the possibility of individual refusal. Compulsory testing should be utilized as a last resort and in a manner as unobtrusive as possible. As well, testing should be transparent, fair, and non-discriminatory.<sup class=""footnote"" data-id=""3"">3</sup> These policies should be flexible, allowing for adjustment to the unique scenario of an outbreak. They should acknowledge the needs of the community and the individual, providing criteria and guidelines for promoting health among all. They should describe when mandatory screenings and testing are appropriate and how they can safely and effectively be implemented.</p><p>Emergency response policies can provide guidance on giving individuals the opportunity to opt-out of testing if appropriate (according to the nature and degree of risk to overall public health goals). Informed consent prior to testing or screening presents an opportunity for individuals to maintain their autonomy and foster a collaborative relationship between citizens and health professionals. The policy on mandatory screenings and/or testing should outline an appropriate protocol for this approach, acknowledging when informed consent is acceptable, how a patient would be informed, if/how their decision would be documented, and what the next steps would be.<sup class=""footnote"" data-id=""4"">4</sup></p>"
Determine the existence of an outbreak,Epidemiological investigation,Epidemiology & lab analysis,"Surveillance & preparedness, Detection, Early response","<p>Once outbreak signals have been assessed and rapid response teams have collected more information, the legitimate existence of an outbreak or epidemic can be determined.</p><p>Event-based surveillance, incident-based surveillance, and the ground-truth information collected by rapid response teams provides information that can support a final determination. A key defining feature of an epidemic is rise in case reports above a normal or expected level. (Note that epidemiologists often use the terms <em>outbreak</em> and <em>epidemic </em> interchangeably; that tradition is followed in this summary.) Thus, an important step in the confirmation process is the comparison of the number of expected cases at a particular place and time with the actual number of reported cases.</p><p>In contrast to an epidemic, a  <em>cluster</em>  is an aggregation of cases in a given area over a particular period without regard to whether the number of cases is more than expected.<sup class=""footnote"" data-id=""1"">1</sup> A key step in confirming the existence of an epidemic—a number of cases above normal expectations—is thus to determine whether a cluster is in fact an epidemic. According to the U.S. Centers for Disease Control and Prevention:<sup class=""footnote"" data-id=""2"">2</sup></p><em>“The expected number is usually the number from the previous few weeks or months, or from a comparable period during the previous few years. For a notifiable disease, the expected number is based on health department surveillance records. For other diseases and conditions, the expected number may be based on locally available data such as hospital discharge records, mortality statistics, or cancer or birth defect registries. When local data are not available, a health department may use rates from state or national data, or, alternatively, conduct a telephone survey of physicians to determine whether they are seeing more cases of the disease than usual. Finally, a survey of the community may be conducted to establish the background or historical level of disease.”</em><p>Other causes for a rise in cases or a perceived rise in cases procedures may explain an excess number of cases. These need to be investigated and ruled out. Such factors can include changes in local reporting processes, changes in case definitions, increased local or national awareness of a disease, or alterations to diagnostic testing procedures. Even if the outbreak turns out not to technically be an epidemic, health officials may still decide that a field investigation is warranted.<sup class=""footnote"" data-id=""3"">3</sup></p>"
Determine vaccination policies,Governance and policy,Governance & coordination,"Surveillance & preparedness, Detection, Early response, Intervention","Determine policies related to vaccination, including whether mandatory vaccinations will be enforced."
Determine whether stockpile should be deployed,Governance and policy,Governance & coordination,"Early response, Intervention",A comprehensive description of this activity is coming soon.
Develop and implement recommended safety precautions for healthcare providers,Clinical care and case management,Healthcare & IPC,"Surveillance & preparedness, Detection, Early response, Intervention, Post-intervention & recovery","<p>Healthcare providers may be at higher risk than others from contracting an outbreak pathogen due to their close contact with patients. Effective implementation of infection prevention and control (IPC) practices, clinical case management guidance, and other steps will help prevent infection of the healthcare workforce.</p><p>IPC guidelines both general and specific draw on evidence from these fields to help reduce the risk of healthcare-associated infections (HAI) and antimicrobial resistance (AMR). <sup class=""footnote"" data-id=""1"">1</sup> Regular updates to standing IPC guidelines are necessary to ensure that they remain relevant.<sup class=""footnote"" data-id=""2"">2</sup> Similarly, guidelines for the management of a novel infectious disease may also evolve over time as scientific understanding about the pathogen in question progresses. Review and revision of guidelines can occur at all phases of an outbreak, beginning with preparedness and continuing into recovery. The World Health Organization (WHO) provides a variety of IPC guidelines on topics like hand hygiene, injection safety, surgical site infections, AMR, and other topics.<sup class=""footnote"" data-id=""3"">3</sup> The WHO will often provide specific IPC guidance for novel outbreaks as the evidence to do so becomes available. New guidelines will need to be distributed to healthcare providers, who will need to be educated about their revised content, and trained as appropriate.</p><p>Healthcare workers will require clinical guidance for case management based on the best available information about the disease. For this purpose, the World Health Organization (WHO) develops operational guidance during outbreaks to support case management. This guidance provides simplified tools for triage, infection prevention and control, and supportive management that can be immediately used and adapted to the field.<sup class=""footnote"" data-id=""4"">4</sup> As the outbreak continues, updated guidance and training reflecting new understanding will be needed. This guidance predominantly reflects best practices for optimizing patient outcomes, may also address provider safety considerations. The safety of providers must also extend to their role in managing the deceased. Training in the donning and doffing of personal protective equipment PPE (gloves, coverall suit, face protection, etc.), hand hygiene, and waste management will be important when handling the deceased.</p><p>In addition to primary providers like doctors and nurses, first responders and other emergency services providers will also require protection. They need IPC training and access to PPE. They should receive any available and relevant vaccinations prior to deployment. They also need accurate, pertinent, timely information, instruction, and training on their safety and health and the services they are providing.</p><p>See “Clinical Care and Case Management” and “Infection Prevention and Control” for additional details about development of and training on these topics.</p>"
